week,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
1,21,39,226,2,1,77.5,0,6,45,0
2,29,41,305,2,1,98.1,1,7,30,0
3,24,33,272,3,0,127.3,0,3,28,0
4,18,30,203,1,2,63.6,1,7,51,0
5,31,41,281,2,0,109.9,2,0,0,0
6,30,40,306,1,1,94.4,2,6,31,0
7,32,42,424,4,1,129.5,1,4,29,0
8,24,38,240,0,2,59.1,3,3,20,0
9,20,30,185,2,0,105.6,2,6,24,0
11,24,43,177,2,1,71.6,1,6,38,0
12,27,34,298,2,0,122.8,1,5,9,0
13,21,33,210,1,1,79.1,3,4,26,0
14,25,43,271,1,1,74.9,1,1,8,0
15,27,37,305,2,2,92.7,3,3,-5,0
16,27,44,235,1,1,73.6,4,10,53,0
17,21,29,245,1,0,109.1,2,4,2,0
